NUTS2	t	0	1	2	3	4	
FR52	42	0.0189125296	0.0283687943	0.9432624113	0.0023640662	0.0070921986
FR53	42	0.0181818182	0.0545454545	0.9151515152	0.0060606061	0.0060606061
FR61	42	0.0146252285	0.0319926874	0.9414990859	0.0027422303	0.0091407678
FR62	42	0.0190995907	0.0259208731	0.9454297408	0.002728513	0.0068212824
FR71	42	0.03113879	0.0400355872	0.9128113879	0.0035587189	0.012455516
FR72	42	0.0055944056	0.0111888112	0.9762237762	0	0.006993007
FR81	42	0.0388349515	0.0461165049	0.8968446602	0.0012135922	0.0169902913
FR82	42	0.0222929936	0.059447983	0.8970276008	0.0010615711	0.0201698514
FR10	48	0.046374678	0.0758189179	0.8619801251	0.001840265	0.013986014
FR21	48	0.0696055684	0.1148491879	0.7795823666	0.0139211137	0.0220417633
FR24	48	0.0302114804	0.0422960725	0.9093655589	0.0120845921	0.0060422961
FR26	48	0.0372881356	0.1084745763	0.8101694915	0.013559322	0.0305084746
FR30	48	0.1871212121	0.0416666667	0.7477272727	0.0098484848	0.0136363636
FR42	48	0.0354131535	0.2293423272	0.7065767285	0.018549747	0.0101180438
FR51	48	0.035113387	0.0468178493	0.8997805413	0.0036576445	0.0146305779
FR52	48	0.0135869565	0.0407608696	0.9375	0.0013586957	0.0067934783
FR53	48	0.0063694268	0.1082802548	0.8789808917	0	0.0063694268
FR61	48	0.0246103363	0.0582444627	0.8982772765	0.0032813782	0.0155865463
FR62	48	0.0179310345	0.0455172414	0.9227586207	0.0027586207	0.0110344828
FR71	48	0.0115236876	0.042893726	0.9289372599	0.0032010243	0.0134443022
FR72	48	0.023929471	0.0528967254	0.9130982368	0.0037783375	0.0062972292
FR81	48	0.0292812777	0.0567879326	0.8970718722	0.0017746229	0.0150842946
FR82	48	0.0326460481	0.0807560137	0.852233677	0.0137457045	0.0206185567
FR10	54	0.049331963	0.0858170606	0.8371017472	0.00668037	0.0210688592
FR21	54	0.1362799263	0.0718232044	0.7532228361	0.0184162063	0.0202578269
FR24	54	0.0131578947	0.0526315789	0.9298245614	0	0.0043859649
FR26	54	0.0765027322	0.174863388	0.7267759563	0	0.0218579235
FR30	54	0.16	0.0552	0.7536	0.0096	0.0216
